Round,Calendar_Week_Num,Day_ID,Date,Date_time,Home_Team_ID,Away_Team_ID,Venue_Stadium_ID,Travel_km,Slot_tier,Home_Tier,Away_Tier,Match_Tier,Is_FIFA,Is_CAF,Is_SuperCup,Postponed
28,28,D_20270211,2027-02-11,2027-02-11 14:30:00,HAR,BNK,HARAS,210.0,3,3,2,2,0,0,0,False
28,29,D_20270214,2027-02-14,2027-02-14 14:30:00,MAH,PHA,MAHALLA,285.0,2,3,3,3,0,0,0,False
28,29,D_20270217,2027-02-17,2027-02-17 14:30:00,CER,GOU,SUEZ_CANAL,560.0,3,2,3,2,0,0,0,False
28,29,D_20270217,2027-02-17,2027-02-17 14:30:00,ZED,ENP,CAIRO_INTL,15.0,3,2,3,2,0,0,0,False
29,26,D_20270130,2027-01-30,2027-01-30 17:00:00,PHA,ZAM,BORG_ARAB,170.0,2,3,1,1,0,0,0,False
29,26,D_20270130,2027-01-30,2027-01-30 19:00:00,MAS,AHL,BORG_ARAB,460.0,2,2,1,1,0,0,0,False
29,26,D_20270130,2027-01-30,2027-01-30 19:00:00,TLG,PET,GEHAZ_REYADA,15.0,2,3,3,3,0,0,0,False
29,26,D_20270130,2027-01-30,2027-01-30 21:00:00,GOU,PYR,EL_GOUNA,465.0,1,3,1,1,0,0,0,False
29,26,D_20270130,2027-01-30,2027-01-30 21:00:00,ITH,HAR,ALEX_STADIUM,15.0,1,2,3,2,0,0,0,False
29,27,D_20270205,2027-02-05,2027-02-05 14:30:00,BNK,CER,CAIRO_INTL,110.0,2,2,2,2,0,0,0,False
29,27,D_20270205,2027-02-05,2027-02-05 17:00:00,ENP,ISM,PETRO_SPORT,135.0,2,3,2,2,0,0,0,False
29,29,D_20270220,2027-02-20,2027-02-20 14:30:00,MOD,ZED,AL_SALAM,15.0,2,2,2,2,0,0,0,False
29,30,D_20270226,2027-02-26,2027-02-26 14:30:00,SMO,MAH,BORG_ARAB,285.0,2,2,3,2,0,0,0,False
30,26,D_20270127,2027-01-27,2027-01-27 19:00:00,BNK,TLG,CAIRO_INTL,15.0,3,2,3,2,0,0,0,False
30,26,D_20270127,2027-01-27,2027-01-27 19:00:00,PYR,CER,30_JUNE,135.0,3,1,2,1,0,0,0,False
