match_idx,round,home_team,away_team,venue,match_tier
172,20,CER,MOD,SUEZ_CANAL,2
173,20,MAS,ISM,BORG_ARAB,2
174,20,PHA,PYR,BORG_ARAB,2
175,20,GOU,AHL,EL_GOUNA,2
176,20,MAH,SMO,MAHALLA,3
177,20,HAR,ZED,HARAS,3
178,20,ENP,ITH,PETRO_SPORT,3
179,20,ZAM,PET,CAIRO_INTL,2
180,21,BNK,MOD,CAIRO_INTL,2
181,21,TLG,MAS,GEHAZ_REYADA,3
182,21,PYR,CER,30_JUNE,1
183,21,ISM,GOU,ISMAILIA_ST,3
184,21,SMO,PHA,BORG_ARAB,3
185,21,AHL,HAR,CAIRO_INTL,2
186,21,ITH,MAH,ALEX_STADIUM,3
187,21,PET,ZED,PETRO_SPORT,3
188,21,ENP,ZAM,PETRO_SPORT,2
189,22,MAS,BNK,SUEZ_ST,2
190,22,MOD,PYR,AL_SALAM,1
191,22,TLG,GOU,GEHAZ_REYADA,3
192,22,CER,SMO,SUEZ_CANAL,2
193,22,HAR,ISM,HARAS,3
194,22,PHA,ITH,BORG_ARAB,3
195,22,PET,AHL,PETRO_SPORT,2
196,22,MAH,ZAM,MAHALLA,2
197,22,ZED,ENP,CAIRO_INTL,3
198,23,BNK,PYR,CAIRO_INTL,1
199,23,GOU,MAS,EL_GOUNA,3
200,23,SMO,MOD,BORG_ARAB,2
201,23,HAR,TLG,HARAS,3
202,23,ITH,CER,ALEX_STADIUM,2
203,23,ISM,PET,ISMAILIA_ST,3
204,23,ZAM,PHA,CAIRO_INTL,2
205,23,AHL,ENP,CAIRO_INTL,2
206,23,MAH,ZED,MAHALLA,3
207,24,GOU,BNK,EL_GOUNA,3
208,24,PYR,SMO,30_JUNE,1
209,24,MAS,HAR,SUEZ_ST,3
210,24,MOD,ITH,AL_SALAM,2
211,24,PET,TLG,PETRO_SPORT,3
212,24,ZAM,CER,CAIRO_INTL,1
213,24,ENP,ISM,PETRO_SPORT,3
214,24,ZED,PHA,CAIRO_INTL,3
215,24,AHL,MAH,CAIRO_INTL,2
216,25,SMO,BNK,BORG_ARAB,2
217,25,HAR,GOU,HARAS,3
218,25,PYR,ITH,30_JUNE,1
219,25,MAS,PET,SUEZ_ST,3
