match_idx,round,home,away,date,caf_violated,violation_reason
261,30,ENP,BNK,2027-04-22,False,
262,30,ZED,ZAM,2027-05-01,False,
263,30,MAH,PET,2027-04-22,False,
264,30,AHL,ITH,2027-04-30,False,
265,30,PHA,HAR,2027-04-19,False,
266,30,SMO,ISM,2027-04-21,False,
267,30,CER,GOU,2027-04-21,False,
268,30,PYR,TLG,2027-04-29,False,
269,30,MOD,MAS,2027-05-01,False,
270,31,BNK,ZED,2027-05-06,False,
271,31,MAH,ENP,2027-05-04,False,
272,31,ZAM,AHL,2027-05-07,False,
273,31,PHA,PET,2027-05-02,False,
274,31,ITH,ISM,2027-05-05,False,
275,31,CER,HAR,2027-05-03,False,
276,31,TLG,SMO,2027-05-03,False,
277,31,MOD,GOU,2027-05-05,False,
278,31,PYR,MAS,2027-05-07,False,
279,32,BNK,MAH,2027-05-10,False,
280,32,ZED,AHL,2027-05-11,False,
281,32,ENP,PHA,2027-05-13,False,
282,32,ISM,ZAM,2027-05-11,False,
283,32,PET,CER,2027-05-10,False,
284,32,TLG,ITH,2027-05-09,False,
285,32,HAR,MOD,2027-05-09,False,
286,32,MAS,SMO,2027-05-11,False,
287,32,GOU,PYR,2027-05-12,False,
288,33,AHL,BNK,2027-05-15,False,
289,33,PHA,MAH,2027-05-18,False,
290,33,ZED,ISM,2027-05-16,False,
291,33,CER,ENP,2027-05-17,False,
292,33,ZAM,TLG,2027-05-15,False,
293,33,MOD,PET,2027-05-16,False,
294,33,ITH,MAS,2027-05-15,False,
295,33,PYR,HAR,2027-05-16,False,
296,33,SMO,GOU,2027-05-17,False,
297,34,BNK,PHA,2027-06-01,False,
298,34,ISM,AHL,2027-05-20,False,
299,34,MAH,CER,2027-05-30,False,
300,34,TLG,ZED,2027-06-01,False,
301,34,ENP,MOD,2027-05-31,False,
302,34,MAS,ZAM,2027-05-19,False,
303,34,PET,PYR,2027-05-20,False,
304,34,GOU,ITH,2027-05-31,False,
305,34,HAR,SMO,2027-05-30,False,
