match_idx,round,home,away,round_window_start,round_window_end,round_window_slot_count,feasible_slot_count,caf_filter_relaxed_for_repair
165,19,AHL,MAS,2026-12-20,2026-12-24,19,502,False
166,19,PYR,MAH,2026-12-20,2026-12-24,19,530,False
167,19,ZED,GOU,2026-12-20,2026-12-24,19,837,False
168,19,SMO,ENP,2026-12-20,2026-12-24,19,837,False
169,19,ZAM,HAR,2026-12-20,2026-12-24,19,525,False
170,19,ITH,PET,2026-12-20,2026-12-24,19,837,False
171,20,BNK,TLG,2026-12-25,2026-12-29,20,837,False
172,20,CER,MOD,2026-12-25,2026-12-29,20,837,False
173,20,MAS,ISM,2026-12-25,2026-12-29,20,522,False
174,20,PHA,PYR,2026-12-25,2026-12-29,20,530,False
175,20,GOU,AHL,2026-12-25,2026-12-29,20,534,False
176,20,MAH,SMO,2026-12-25,2026-12-29,20,837,False
177,20,HAR,ZED,2026-12-25,2026-12-29,20,837,False
178,20,ENP,ITH,2026-12-25,2026-12-29,20,837,False
179,20,ZAM,PET,2026-12-25,2026-12-29,20,525,False
180,21,BNK,MOD,2026-12-30,2027-01-03,20,837,False
181,21,TLG,MAS,2026-12-30,2027-01-03,20,522,False
182,21,PYR,CER,2026-12-30,2027-01-03,20,530,False
183,21,ISM,GOU,2026-12-30,2027-01-03,20,837,False
184,21,SMO,PHA,2026-12-30,2027-01-03,20,837,False
185,21,AHL,HAR,2026-12-30,2027-01-03,20,534,False
186,21,ITH,MAH,2026-12-30,2027-01-03,20,837,False
187,21,PET,ZED,2026-12-30,2027-01-03,20,837,False
188,21,ENP,ZAM,2026-12-30,2027-01-03,20,525,False
189,22,MAS,BNK,2027-01-19,2027-01-23,20,522,False
190,22,MOD,PYR,2027-01-19,2027-01-23,20,530,False
191,22,TLG,GOU,2027-01-19,2027-01-23,20,837,False
192,22,CER,SMO,2027-01-19,2027-01-23,20,837,False
193,22,HAR,ISM,2027-01-19,2027-01-23,20,837,False
194,22,PHA,ITH,2027-01-19,2027-01-23,20,837,False
195,22,PET,AHL,2027-01-19,2027-01-23,20,534,False
196,22,MAH,ZAM,2027-01-19,2027-01-23,20,525,False
197,22,ZED,ENP,2027-01-19,2027-01-23,20,837,False
198,23,BNK,PYR,2027-01-24,2027-01-28,20,530,False
199,23,GOU,MAS,2027-01-24,2027-01-28,20,522,False
200,23,SMO,MOD,2027-01-24,2027-01-28,20,837,False
201,23,HAR,TLG,2027-01-24,2027-01-28,20,837,False
202,23,ITH,CER,2027-01-24,2027-01-28,20,837,False
